frame,op,x,y,w,h,r,g,b,text
1,TEXT,1,1,300,20,1,61,121,HELLO WORLD
2,TEXT,1,1,300,20,2,62,122,FRAME 2
3,TEXT,1,1,300,20,3,63,123,FRAME 3
4,TEXT,1,1,,,4,64,124,
5,TEXT,1,1,,,5,65,125,
6,TEXT,1,1,,,6,66,126,
7,TEXT,1,1,,,7,67,127,
8,TEXT,1,1,,,8,68,128,
9,TEXT,1,1,,,9,69,129,
10,TEXT,1,1,,,10,70,130,
11,TEXT,1,1,,,11,71,131,
12,TEXT,1,1,,,12,72,132,
13,TEXT,1,1,,,13,73,133,
14,TEXT,1,1,,,14,74,134,
15,TEXT,1,1,,,15,75,135,
16,TEXT,1,1,,,16,76,136,
17,TEXT,1,1,,,17,77,137,
18,TEXT,1,1,,,18,78,138,
19,TEXT,1,1,,,19,79,139,
20,TEXT,1,1,,,20,80,140,
21,TEXT,1,1,,,21,81,141,
22,TEXT,1,1,,,22,82,142,
23,TEXT,1,1,,,23,83,143,
24,TEXT,1,1,,,24,84,144,
25,TEXT,1,1,,,25,85,145,
26,TEXT,1,1,,,26,86,146,
27,TEXT,1,1,,,27,87,147,
28,TEXT,1,1,,,28,88,148,
29,TEXT,1,1,,,29,89,149,
30,TEXT,1,1,,,30,90,150,
31,TEXT,1,1,,,31,91,151,
32,TEXT,1,1,,,32,92,152,
33,TEXT,1,1,,,33,93,153,
34,TEXT,1,1,,,34,94,154,
35,TEXT,1,1,,,35,95,155,
36,TEXT,1,1,,,36,96,156,
37,TEXT,1,1,,,37,97,157,
38,TEXT,1,1,,,38,98,158,
39,TEXT,1,1,,,39,99,159,
40,TEXT,1,1,,,40,100,160,
41,TEXT,1,1,,,41,101,161,
42,TEXT,1,1,,,42,102,162,
43,TEXT,1,1,,,43,103,163,
44,TEXT,1,1,,,44,104,164,
45,TEXT,1,1,,,45,105,165,
46,TEXT,1,1,,,46,106,166,
47,TEXT,1,1,,,47,107,167,
48,TEXT,1,1,,,48,108,168,
49,TEXT,1,1,,,49,109,169,
50,TEXT,1,1,,,50,110,170,
51,TEXT,1,1,,,51,111,171,
52,TEXT,1,1,,,52,112,172,
53,TEXT,1,1,,,53,113,173,
54,TEXT,1,1,,,54,114,174,
55,TEXT,1,1,,,55,115,175,
56,TEXT,1,1,,,56,116,176,
57,TEXT,1,1,,,57,117,177,
58,TEXT,1,1,,,58,118,178,
59,TEXT,1,1,,,59,119,179,
60,TEXT,1,1,,,60,120,180,
