frame,op,x,y,w,h,r,g,b,text
0,RECTF,10,90,5,10,0,255,0,
0,PSET,10,90,0,0,0,0,255,
0,TEXT,10,120,0,0,255,255,255,Gen 0 Max 1
1,RECTF,11,80,5,20,0,255,0,
1,PSET,11,88,0,0,0,0,255,
2,RECTF,12,90,5,10,0,255,0,
2,PSET,12,90,0,0,0,0,255,
3,RECTF,13,60,5,40,0,255,0,
3,PSET,13,82,0,0,0,0,255,
4,RECTF,14,80,5,20,0,255,0,
4,PSET,14,88,0,0,0,0,255,
5,RECTF,15,80,5,20,0,255,0,
5,PSET,15,88,0,0,0,0,255,
6,RECTF,16,80,5,20,0,255,0,
6,PSET,16,88,0,0,0,0,255,
7,RECTF,17,70,5,30,0,255,0,
7,PSET,17,86,0,0,0,0,255,
8,RECTF,18,60,5,40,0,255,0,
8,PSET,18,77,0,0,0,0,255,
9,RECTF,19,80,5,20,0,255,0,
9,PSET,19,87,0,0,0,0,255,
10,RECTF,20,90,5,10,0,255,0,
10,PSET,20,91,0,0,0,0,255,
10,TEXT,10,120,0,0,255,255,255,Gen 10 Max 1
11,RECTF,21,80,5,20,0,255,0,
11,PSET,21,87,0,0,0,0,255,
12,RECTF,22,70,5,30,0,255,0,
12,PSET,22,87,0,0,0,0,255,
13,RECTF,23,80,5,20,0,255,0,
13,PSET,23,87,0,0,0,0,255,
14,RECTF,24,80,5,20,0,255,0,
14,PSET,24,87,0,0,0,0,255,
15,RECTF,25,80,5,20,0,255,0,
15,PSET,25,87,0,0,0,0,255,
16,RECTF,26,70,5,30,0,255,0,
16,PSET,26,85,0,0,0,0,255,
17,RECTF,27,70,5,30,0,255,0,
17,PSET,27,86,0,0,0,0,255,
18,RECTF,28,70,5,30,0,255,0,
18,PSET,28,83,0,0,0,0,255,
19,RECTF,29,70,5,30,0,255,0,
19,PSET,29,83,0,0,0,0,255,
20,RECTF,30,60,5,40,0,255,0,
20,PSET,30,80,0,0,0,0,255,
20,TEXT,10,120,0,0,255,255,255,Gen 20 Max 4
21,RECTF,31,80,5,20,0,255,0,
21,PSET,31,87,0,0,0,0,255,
22,RECTF,32,80,5,20,0,255,0,
22,PSET,32,88,0,0,0,0,255,
23,RECTF,33,80,5,20,0,255,0,
23,PSET,33,88,0,0,0,0,255,
24,RECTF,34,90,5,10,0,255,0,
24,PSET,34,90,0,0,0,0,255,
25,RECTF,35,90,5,10,0,255,0,
25,PSET,35,90,0,0,0,0,255,
26,RECTF,36,90,5,10,0,255,0,
26,PSET,36,90,0,0,0,0,255,
27,RECTF,37,90,5,10,0,255,0,
27,PSET,37,90,0,0,0,0,255,
28,RECTF,38,90,5,10,0,255,0,
28,PSET,38,90,0,0,0,0,255,
29,RECTF,39,90,5,10,0,255,0,
29,PSET,39,90,0,0,0,0,255,
30,RECTF,40,90,5,10,0,255,0,
30,PSET,40,90,0,0,0,0,255,
30,TEXT,10,120,0,0,255,255,255,Gen 30 Max 1
31,RECTF,41,90,5,10,0,255,0,
31,PSET,41,90,0,0,0,0,255,
32,RECTF,42,90,5,10,0,255,0,
32,PSET,42,90,0,0,0,0,255,
33,RECTF,43,80,5,20,0,255,0,
33,PSET,43,87,0,0,0,0,255,
34,RECTF,44,70,5,30,0,255,0,
34,PSET,44,86,0,0,0,0,255,
35,RECTF,45,80,5,20,0,255,0,
35,PSET,45,86,0,0,0,0,255,
36,RECTF,46,80,5,20,0,255,0,
36,PSET,46,88,0,0,0,0,255,
37,RECTF,47,70,5,30,0,255,0,
37,PSET,47,85,0,0,0,0,255,
38,RECTF,48,80,5,20,0,255,0,
38,PSET,48,86,0,0,0,0,255,
39,RECTF,49,80,5,20,0,255,0,
39,PSET,49,87,0,0,0,0,255,
40,RECTF,50,80,5,20,0,255,0,
40,PSET,50,87,0,0,0,0,255,
40,TEXT,10,120,0,0,255,255,255,Gen 40 Max 2
41,RECTF,51,70,5,30,0,255,0,
41,PSET,51,86,0,0,0,0,255,
42,RECTF,52,70,5,30,0,255,0,
42,PSET,52,85,0,0,0,0,255,
43,RECTF,53,70,5,30,0,255,0,
43,PSET,53,86,0,0,0,0,255,
44,RECTF,54,70,5,30,0,255,0,
44,PSET,54,83,0,0,0,0,255,
45,RECTF,55,60,5,40,0,255,0,
45,PSET,55,75,0,0,0,0,255,
46,RECTF,56,80,5,20,0,255,0,
46,PSET,56,87,0,0,0,0,255,
47,RECTF,57,80,5,20,0,255,0,
47,PSET,57,88,0,0,0,0,255,
48,RECTF,58,80,5,20,0,255,0,
48,PSET,58,88,0,0,0,0,255,
49,RECTF,59,80,5,20,0,255,0,
49,PSET,59,86,0,0,0,0,255,
50,RECTF,60,90,5,10,0,255,0,
50,PSET,60,90,0,0,0,0,255,
50,TEXT,10,120,0,0,255,255,255,Gen 50 Max 1
51,RECTF,61,80,5,20,0,255,0,
51,PSET,61,88,0,0,0,0,255,
52,RECTF,62,80,5,20,0,255,0,
52,PSET,62,87,0,0,0,0,255,
53,RECTF,63,70,5,30,0,255,0,
53,PSET,63,86,0,0,0,0,255,
54,RECTF,64,80,5,20,0,255,0,
54,PSET,64,85,0,0,0,0,255,
55,RECTF,65,80,5,20,0,255,0,
55,PSET,65,85,0,0,0,0,255,
56,RECTF,66,80,5,20,0,255,0,
56,PSET,66,87,0,0,0,0,255,
57,RECTF,67,80,5,20,0,255,0,
57,PSET,67,86,0,0,0,0,255,
58,RECTF,68,60,5,40,0,255,0,
58,PSET,68,86,0,0,0,0,255,
59,RECTF,69,70,5,30,0,255,0,
59,PSET,69,81,0,0,0,0,255,
60,RECTF,70,70,5,30,0,255,0,
60,PSET,70,87,0,0,0,0,255,
60,TEXT,10,120,0,0,255,255,255,Gen 60 Max 3
61,RECTF,71,70,5,30,0,255,0,
61,PSET,71,80,0,0,0,0,255,
62,RECTF,72,80,5,20,0,255,0,
62,PSET,72,86,0,0,0,0,255,
63,RECTF,73,80,5,20,0,255,0,
63,PSET,73,85,0,0,0,0,255,
64,RECTF,74,70,5,30,0,255,0,
64,PSET,74,83,0,0,0,0,255,
65,RECTF,75,60,5,40,0,255,0,
65,PSET,75,83,0,0,0,0,255,
66,RECTF,76,80,5,20,0,255,0,
66,PSET,76,85,0,0,0,0,255,
67,RECTF,77,80,5,20,0,255,0,
67,PSET,77,82,0,0,0,0,255,
68,RECTF,78,70,5,30,0,255,0,
68,PSET,78,83,0,0,0,0,255,
69,RECTF,79,70,5,30,0,255,0,
69,PSET,79,85,0,0,0,0,255,
70,RECTF,80,80,5,20,0,255,0,
70,PSET,80,85,0,0,0,0,255,
