frame,op,x,y,w,h,r,g,b,text
0,FILL,0,0,0,0,0,16,32,
0,TEXT,60,20,200,16,255,255,255,GEOMETRY OS
0,TEXT,40,50,200,16,100,200,255,csv2asm timeline demo
1,RECTF,20,80,100,30,255,68,68,
1,RECTF,130,80,100,30,68,255,68,
1,RECTF,20,120,100,30,68,136,255,
1,RECTF,130,120,100,30,255,221,0,
2,TEXT,35,87,80,16,255,255,255,RED
2,TEXT,145,87,80,16,255,255,255,GREEN
2,TEXT,35,127,80,16,255,255,255,BLUE
2,TEXT,140,127,80,16,255,255,255,GOLD
3,FILL,0,0,0,0,0,16,32,
3,TEXT,30,100,250,20,255,200,100,CSV POWERED GEOS
4,LINE,30,125,226,125,255,100,100,
4,TEXT,30,135,250,16,200,200,200,frame-by-frame control
